principal,amount
ef2pp-rwmnk-yxg6z-lmviv-zgu74-ztk23-rnyft-olnc7-rygqw-43trc-mqe,1.12
lx24e-x4e6x-gbzln-26ndb-ark2a-r63vh-aqpab-im3fu-g2npb-bm7sa-zqe,1.16
m7l6o-pycvx-lgz3o-dtgue-545zv-xveq6-ii6xp-dk55k-wyfya-cl3m5-vqe,1.11
wywox-eq4op-nul5n-q7q3x-bw6pv-4w2u6-5zts7-mko5a-rtrqn-j473f-2ae,1.12
dzshq-xgik4-xcooe-xyor5-o633v-kwqmu-uht2n-yffxp-a6qjv-dwc2v-fae,1.11
lmb4l-pl74f-s65or-3jc5j-bhcvt-6q3yu-2khxx-xc6vw-aupuz-ynod4-mqe,2.08
gsguf-ttuoy-z6ddz-dvbdw-xwipt-hx4yx-5cnof-xmeqm-vigtc-zekti-iae,1.12
3ilsk-dcezd-sxhf6-jgxbo-mp5t2-x4ihj-2ys6b-fijpk-bv6d3-a33rk-7ae,1.15
rlf5m-4ecak-pbzrq-gplsh-d2z4p-zcwrz-4o6np-xqey7-ymcnu-jui64-pae,1.64
uk3kq-of7py-frxlw-gwbdt-5msmj-sml4h-oesuc-5xzl3-akwxk-jrkh6-fae,1.96
yzjyz-keamj-xhwgp-ddrkg-choc4-zlntu-umkoj-7hjrs-htgih-ic67u-lqe,1.12
irht7-zinai-vwxar-q6pm2-o2smk-uidql-2a7fr-nvcfn-r6ili-dcq7t-zqe,1.14
lz62o-zk52y-rkjra-wgd45-tyru5-cxxzd-ebpxe-jn33j-xse4j-5sjky-bae,1.12
ak4ey-4a3pm-gdp3v-kqlpg-tpiye-czq27-2vlrt-4b2kn-fglcq-ywbfo-mqe,1.13
4ilwl-qo6cj-tpmoi-65gxa-6bu4u-yozbc-brxp5-zi2na-yespm-75rf6-zae,1.14
uv2at-k52q4-o4arg-k7ejb-fmdop-fu2jk-2gbpi-pueqd-fg2o6-wise5-rqe,1.14
gt77i-4qey5-zxkdz-6kbbq-kwhla-jghlz-2urrz-aj6un-ylrwk-adbmn-fae,1.09
f6ads-vlegl-ob4yt-4lrzo-lbmd5-dc5cp-wihds-u4e5j-slygw-b5xmv-5qe,1.11
4snn2-lulcm-a37eq-fjnp3-rt4mk-evcrc-c3uk4-fzwcg-ll2nj-4r4sj-mqe,1.15
knvtt-7ik3n-lir6b-lt574-p6abp-7cerh-4z2m2-jetfo-hjhwf-hvnfd-3qe,1.65
hzdmy-7jhqm-a3t3n-f4axk-zsinf-e2feg-4eonm-qmmom-ac3nw-auxrc-pqe,1.64
puauj-5olwv-szjo2-rxdct-6vyfz-6qhot-3rz2p-7p4q7-ovknc-hxty7-hae,1.1
7krnh-ppry2-7d3ty-m6dsu-7dpnv-tr4va-6o5wm-ve5mp-xwtec-7wcoz-rqe,1.18
weaun-g2ylp-7mvmr-ss5tk-ive6f-low2p-rpz3a-vcgw6-auloz-rl2l3-4qe,1.16
da23b-strgv-l7joq-x3h4w-oudid-2rkfn-hcevr-l4daw-bvtbb-rk3ll-nqe,1.38
is75v-rh7qx-ukodk-kzeu2-grjsu-ypofi-nlncv-2zh44-nbf6l-c4sw7-qae,1.07
6mhix-dq76i-izgn6-oxumr-xfb4j-wffhl-lswd3-ihyzj-unkle-52zbl-dqe,1.16
5tcfo-izhjw-pthtl-za7ze-jzumb-jopk2-y446m-o6qth-rebp5-bnuvk-yqe,1.08
,100
